,config,accuracy_train,f1_train,accuracy_test,f1_test
0,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 10, 'subsample': 0.7}",0.8554421768707483,0.2272727272727273,0.8605442176870748,0.19607843137254902
1,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 10, 'subsample': 0.8}",0.8545918367346939,0.23318385650224216,0.8571428571428571,0.15999999999999998
2,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 10, 'subsample': 1}",0.8630952380952381,0.3206751054852321,0.8605442176870748,0.19607843137254902
3,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 15, 'subsample': 0.7}",0.8554421768707483,0.212962962962963,0.8605442176870748,0.163265306122449
4,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 15, 'subsample': 0.8}",0.8545918367346939,0.22624434389140272,0.8571428571428571,0.15999999999999998
5,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 15, 'subsample': 1}",0.8622448979591837,0.3017241379310344,0.8537414965986394,0.1568627450980392
6,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 20, 'subsample': 0.7}",0.8571428571428571,0.23636363636363633,0.8605442176870748,0.163265306122449
7,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 20, 'subsample': 0.8}",0.8554421768707483,0.24107142857142858,0.8571428571428571,0.15999999999999998
8,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 20, 'subsample': 1}",0.8579931972789115,0.25112107623318386,0.8571428571428571,0.15999999999999998
9,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 25, 'subsample': 0.7}",0.8537414965986394,0.21818181818181817,0.8639455782312925,0.19999999999999998
10,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 25, 'subsample': 0.8}",0.8545918367346939,0.23318385650224216,0.8571428571428571,0.15999999999999998
11,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 25, 'subsample': 1}",0.858843537414966,0.2589285714285714,0.8605442176870748,0.19607843137254902
12,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 30, 'subsample': 0.7}",0.8554421768707483,0.2342342342342342,0.8639455782312925,0.19999999999999998
13,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 30, 'subsample': 0.8}",0.8562925170068028,0.24888888888888888,0.8605442176870748,0.19607843137254902
14,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 30, 'subsample': 1}",0.8596938775510204,0.2666666666666666,0.8605442176870748,0.19607843137254902
15,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 2, 'n_estimators': 10, 'subsample': 0.7}",0.8528911564625851,0.2311111111111111,0.8639455782312925,0.23076923076923078
16,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 2, 'n_estimators': 10, 'subsample': 0.8}",0.8537414965986394,0.23893805309734512,0.8571428571428571,0.15999999999999998
17,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 2, 'n_estimators': 10, 'subsample': 1}",0.858843537414966,0.2966101694915254,0.8605442176870748,0.19607843137254902
18,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 2, 'n_estimators': 15, 'subsample': 0.7}",0.8545918367346939,0.2191780821917808,0.8639455782312925,0.19999999999999998
19,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 2, 'n_estimators': 15, 'subsample': 0.8}",0.8528911564625851,0.2242152466367713,0.8571428571428571,0.15999999999999998
20,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 2, 'n_estimators': 15, 'subsample': 1}",0.858843537414966,0.28448275862068967,0.8571428571428571,0.19230769230769232
21,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 2, 'n_estimators': 20, 'subsample': 0.7}",0.8562925170068028,0.22831050228310504,0.8605442176870748,0.163265306122449
22,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 2, 'n_estimators': 20, 'subsample': 0.8}",0.8528911564625851,0.24454148471615722,0.8571428571428571,0.15999999999999998
23,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 2, 'n_estimators': 20, 'subsample': 1}",0.8579931972789115,0.2643171806167401,0.8605442176870748,0.19607843137254902
24,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 2, 'n_estimators': 25, 'subsample': 0.7}",0.8554421768707483,0.2342342342342342,0.8639455782312925,0.19999999999999998
25,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 2, 'n_estimators': 25, 'subsample': 0.8}",0.8528911564625851,0.2311111111111111,0.8571428571428571,0.15999999999999998
26,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 2, 'n_estimators': 25, 'subsample': 1}",0.8571428571428571,0.25000000000000006,0.8605442176870748,0.19607843137254902
27,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 2, 'n_estimators': 30, 'subsample': 0.7}",0.8571428571428571,0.24324324324324326,0.8639455782312925,0.19999999999999998
28,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 2, 'n_estimators': 30, 'subsample': 0.8}",0.8571428571428571,0.26956521739130435,0.8605442176870748,0.19607843137254902
29,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 2, 'n_estimators': 30, 'subsample': 1}",0.8579931972789115,0.2577777777777778,0.8605442176870748,0.19607843137254902
30,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 10, 'subsample': 0.7}",0.8520408163265306,0.2300884955752212,0.8571428571428571,0.125
31,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 10, 'subsample': 0.8}",0.8503401360544217,0.20720720720720723,0.8537414965986394,0.12244897959183675
32,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 10, 'subsample': 1}",0.8579931972789115,0.2832618025751073,0.8605442176870748,0.19607843137254902
33,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 15, 'subsample': 0.7}",0.8520408163265306,0.19444444444444445,0.8571428571428571,0.125
34,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 15, 'subsample': 0.8}",0.8520408163265306,0.22321428571428573,0.8537414965986394,0.12244897959183675
35,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 15, 'subsample': 1}",0.8571428571428571,0.2631578947368421,0.8571428571428571,0.19230769230769232
36,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 20, 'subsample': 0.7}",0.8537414965986394,0.2037037037037037,0.8571428571428571,0.125
37,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 20, 'subsample': 0.8}",0.8545918367346939,0.24669603524229075,0.8537414965986394,0.12244897959183675
38,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 20, 'subsample': 1}",0.8545918367346939,0.24669603524229075,0.8605442176870748,0.19607843137254902
39,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 25, 'subsample': 0.7}",0.8545918367346939,0.23318385650224216,0.8571428571428571,0.15999999999999998
40,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 25, 'subsample': 0.8}",0.8554421768707483,0.24778761061946902,0.8571428571428571,0.15999999999999998
41,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 25, 'subsample': 1}",0.8554421768707483,0.2342342342342342,0.8605442176870748,0.19607843137254902
42,"{'colsample_bytree': 0.6, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 30, 'subsample': 0.7}",0.8554421768707483,0.2272727272727273,0.8571428571428571,0.125
